Checking system parameters...
System parameters already optimal

Starting GameServer (release, LOG_LEVEL=error, ENABLE_REEVALUATION=false; log file: /tmp/ws-loadtest-gameserver.log)...
Waiting for server to listen on 8080...
Starting system monitoring...

> build
> tsc -p tsconfig.json

Running load test...
Report written to /workspace/Examples/GameDemo/ws-loadtest/results-hummingbird/rq3-rerun-2026-02-06/scalability-2026-02-06T12-57-57/run-2/ws-loadtest-1770382890018.{json,html}
Stopping monitoring...
Stopping GameServer...
---- GameServer log (tail, may show crash) ----
2026-02-06 13:01:19.122 ERROR [HeroDefenseServer] WebSocket error error=read(descriptor:pointer:size:): Connection reset by peer) (errno: 104), sessionID=CF19B716-77F7-41FD-9F6B-7D21DA0A596B
2026-02-06 13:01:19.122 ERROR [HeroDefenseServer] WebSocket error error=read(descriptor:pointer:size:): Connection reset by peer) (errno: 104), sessionID=5E64D04C-3CEA-41AD-9B9E-08F1C43922D0
2026-02-06 13:01:19.122 ERROR [HeroDefenseServer] WebSocket error error=read(descriptor:pointer:size:): Connection reset by peer) (errno: 104), sessionID=CF4B02A7-B1BF-4F51-AEBE-9BEA048BCE63
2026-02-06 13:01:19.122 ERROR [HeroDefenseServer] WebSocket error error=read(descriptor:pointer:size:): Connection reset by peer) (errno: 104), sessionID=DCF3A448-FC94-49DE-839D-D0AB78D0F487
2026-02-06 13:01:19.122 ERROR [HeroDefenseServer] WebSocket error sessionID=825EEC38-5DAE-49E1-90BC-BC704EAD6AAC, error=read(descriptor:pointer:size:): Connection reset by peer) (errno: 104)
2026-02-06 13:01:19.122 ERROR [HeroDefenseServer] WebSocket error error=read(descriptor:pointer:size:): Connection reset by peer) (errno: 104), sessionID=8AB55F0E-6344-48E3-8FA6-6EE54CF34E28
2026-02-06 13:01:19.122 ERROR [HeroDefenseServer] WebSocket error sessionID=0A35F9C3-8B09-4174-866B-ADBBCEC8809D, error=read(descriptor:pointer:size:): Connection reset by peer) (errno: 104)
2026-02-06 13:01:19.122 ERROR [HeroDefenseServer] WebSocket error sessionID=D5A42B77-F3CD-4618-ABAA-2FD93ADEEB50, error=read(descriptor:pointer:size:): Connection reset by peer) (errno: 104)
2026-02-06 13:01:19.122 ERROR [HeroDefenseServer] WebSocket error error=read(descriptor:pointer:size:): Connection reset by peer) (errno: 104), sessionID=AABD064B-8113-4BE3-BECF-30190A6219E9
2026-02-06 13:01:19.122 ERROR [HeroDefenseServer] WebSocket error sessionID=61825BCF-789E-41D6-91F3-BB027E2F248C, error=read(descriptor:pointer:size:): Connection reset by peer) (errno: 104)
