format,rooms,cpuLogicalCores,syncHz,cpuUsageLimit,playersPerRoom,serial_avgCostPerSyncMs,parallel_avgCostPerSyncMs,maxRoomsSerial,maxRoomsParallel,maxPlayersSerial,maxPlayersParallel
JSON Object,10,12,10.0,0.7,5,0.3298566295,0.0820709615,2546.5609142774556,10235.045193177128,12732.804571387278,51175.225965885635
JSON Object,30,12,10.0,0.7,5,0.33763234216666665,0.07474221683333333,2487.913316033414,11238.628389536596,12439.56658016707,56193.141947682976
JSON Object,50,12,10.0,0.7,5,0.3328572562,0.06604828199999999,2523.604290889423,12717.968954892727,12618.021454447115,63589.844774463636
Opcode MsgPack (PathHash),10,12,10.0,0.7,5,0.309484316,0.0675325265,2714.1924697728464,12438.45067754129,13570.962348864232,62192.25338770645
Opcode MsgPack (PathHash),30,12,10.0,0.7,5,0.3017120405,0.062201339499999994,2784.1116271261308,13504.532326028124,13920.558135630654,67522.66163014062
Opcode MsgPack (PathHash),50,12,10.0,0.7,5,0.29813594919999997,0.0571910295,2817.506584677243,14687.618099268522,14087.532923386216,73438.09049634261
